id,smiles,energy,stability_score,molecular_weight,fluorine_count,logp,tpsa,rotatable_bonds,hbd,hba,optimization_converged,generation_time,created_at
1324,CC1(F)CCCCCC1F,22.406073062770645,95.0,148.19599999999997,2,3.0168000000000017,0.0,0,0,0,1,0.011986017227172852,2025-05-27 09:45:24
32,CC(F)(F)C(c1c(F)cccc1F)C(F)F,22.41763684182673,100.0,242.16199999999992,6,3.968700000000001,0.0,3,0,0,1,0.014170408248901367,2025-05-27 09:45:21
1746,CC(F)C(C)(F)c1ccccc1F,22.450309221289253,100.0,188.19199999999995,3,3.368400000000002,0.0,2,0,0,1,0.012526512145996094,2025-05-27 09:45:24
3431,CCC(C)(F)c1c(F)cccc1F,22.459164676639062,100.0,188.19199999999995,3,3.5595000000000017,0.0,2,0,0,1,0.010546445846557617,2025-05-27 09:45:29
1517,CCC(c1ccccc1)C(F)F,22.468184177934937,100.0,170.20199999999997,2,3.4453000000000022,0.0,3,0,0,1,0.012955904006958008,2025-05-27 09:45:24
2072,CC(F)C(C)(F)c1cc(F)ccc1F,22.478229831164267,100.0,206.18199999999996,4,3.507500000000002,0.0,2,0,0,1,0.015020608901977539,2025-05-27 09:45:26
816,CC(F)(CF)c1c(F)cccc1F,22.48675125240896,100.0,192.15499999999994,4,3.1190000000000015,0.0,2,0,0,1,0.010995626449584961,2025-05-27 09:45:21
9318,FC1CCCC(F)C(C(F)F)C1,22.49780433448735,100.0,184.17599999999996,4,3.1179000000000023,0.0,1,0,0,1,0.012141227722167969,2025-05-27 09:45:46
3302,FC(F)C1(F)CCCCCC1,22.51325815198935,100.0,166.18599999999998,3,3.314000000000002,0.0,1,0,0,1,0.009179353713989258,2025-05-27 09:45:29
6575,FCC1CCC(F)(F)CC(F)C1,22.551165752759676,100.0,184.176,4,3.119500000000002,0.0,1,0,0,1,0.008197546005249023,2025-05-27 09:45:38
2995,CC(F)(CCF)c1cc(F)ccc1F,22.573614694148016,100.0,206.18199999999993,4,3.509100000000002,0.0,3,0,0,1,0.010625839233398438,2025-05-27 09:45:26
7847,CC(F)(F)C(C)(F)c1ccc(F)cc1F,22.59441240259197,100.0,224.17199999999994,5,3.8047000000000013,0.0,2,0,0,1,0.014703512191772461,2025-05-27 09:45:41
124,CC(F)(CCF)c1ccccc1,22.59501541381927,100.0,170.20199999999997,2,3.230900000000002,0.0,3,0,0,1,0.015457630157470703,2025-05-27 09:45:21
1454,CCC(C)(F)c1c(F)ccc(F)c1F,22.62763711200453,100.0,206.18199999999993,4,3.6986000000000017,0.0,2,0,0,1,0.010575294494628906,2025-05-27 09:45:24
6561,FCC1CCCCC(F)C1F,22.63660953364856,100.0,166.18599999999998,3,2.822300000000001,0.0,1,0,0,1,0.012214422225952148,2025-05-27 09:45:38
713,CC1C(F)CCC(F)CC1F,22.667942370719558,100.0,166.18599999999995,3,2.8207000000000013,0.0,0,0,0,1,0.011812448501586914,2025-05-27 09:45:21
2083,CCC(c1ccc(F)c(F)c1)C(F)F,22.6864147824948,100.0,206.18199999999996,4,3.7235000000000014,0.0,3,0,0,1,0.01211404800415039,2025-05-27 09:45:26
6605,CCC(C)c1c(F)c(F)cc(F)c1F,22.76808141571729,100.0,206.18199999999996,4,3.7565000000000017,0.0,2,0,0,1,0.015825986862182617,2025-05-27 09:45:38
6280,FCC1(F)CCCCC(F)C1,22.79897954493453,100.0,166.18599999999998,3,2.966400000000001,0.0,1,0,0,1,0.011698722839355469,2025-05-27 09:45:38
